+------+-------------+----------------+----------------+----------------+---------------+---------------+---------------+----------------+----------------+----------------+---------------+---------------+---------------+--------------+--------------+
|  id  | paciente_id | aceleracion_x1 | aceleracion_y1 | aceleracion_z1 | giroscopio_x1 | giroscopio_y1 | giroscopio_z1 | aceleracion_x2 | aceleracion_y2 | aceleracion_z2 | giroscopio_x2 | giroscopio_y2 | giroscopio_z2 | temperatura1 | temperatura2 |
| 1147 |      1      |   -0.3466264   |   -0.2783103   |   -0.5057956   |  -0.9160305   |   -3.221374   |   -0.961832   |   -0.3047786   |   -0.3031051   |   -0.4720505   |   -3.152672   |   0.6030535   |   0.2824428   |    209.33    |   213.2829   |
| 1146 |      1      |   -0.3517871   |   -0.2804279   |   -0.5085283   |  -0.3816794   |   -3.129771   |   -0.961832   |   -0.3072348   |   -0.3037105   |   -0.4724923   |   -3.312977   |   0.6564885   |   0.3206107   |   209.2359   |   213.2829   |
| 1145 |      1      |   -0.3498528   |   -0.2754545   |   -0.5074708   |  -0.9389313   |   -2.89313    |   -0.832061   |   -0.3056715   |   -0.3044163   |   -0.4753159   |   -3.778626   |  -0.0610687   |   0.3969466   |   209.2359   |    213.33    |
| 1144 |      1      |   -0.3509927   |   -0.2786609   |   -0.5059855   |  -0.2671756   |   -3.10687    |   -1.038168   |   -0.305181    |    -0.30452    |   -0.4734788   |   -3.435115   |   0.0610687   |   0.4427481   |   209.2829   |   213.2829   |
| 1143 |      1      |   -0.3516617   |   -0.2790832   |   -0.5085363   |   -0.480916   |   -2.89313    |  -0.9465649   |   -0.3056576   |   -0.3038785   |   -0.475583    |   -3.480916   |   0.1984733   |   0.2290076   |   209.2359   |   213.2829   |
| 1142 |      1      |   -0.347703    |   -0.2772492   |   -0.5064722   |  -0.7251908   |   -2.969466   |  -0.9847328   |   -0.3058001   |    -0.30484    |   -0.4766804   |   -3.587786   |   0.1145038   |  0.06870229   |   209.2359   |    213.33    |
| 1141 |      1      |   -0.3466298   |   -0.2771915   |   -0.5045834   |  -0.4045802   |   -3.068702   |   -1.10687    |   -0.3031024   |   -0.3031349   |   -0.4713467   |   -3.351145   |   0.6946565   |   0.1068702   |   209.2359   |    213.33    |
| 1140 |      1      |   -0.3480674   |   -0.2757344   |   -0.5030582   |   0.3358779   |   -3.183206   |   -1.183206   |   -0.3015935   |   -0.3011103   |   -0.4696052   |   -3.007634   |   0.9160305   |   0.519084    |   209.2359   |   213.2829   |
| 1139 |      1      |   -0.3480265   |   -0.2772216   |   -0.501967    |  -0.4732824   |   -2.992366   |  -0.8549618   |   -0.3029737   |   -0.3020516   |   -0.4729305   |   -2.946565   |   0.4198473   |   0.610687    |   209.2829   |   213.2829   |
| 1138 |      1      |   -0.3502587   |   -0.2800379   |   -0.5048141   |  -0.3740458   |   -3.137405   |  -0.8625955   |   -0.3036665   |   -0.3009743   |   -0.4718804   |   -3.419847   |   0.1984733   |   0.4580153   |   209.1888   |   213.3771   |
